uniprot,organism,ogt,organism_class,tm,n_datasets
R4YLC1,Oleispira antarctica,15.0,psychrophile,43.4,1
R4YLC2,Oleispira antarctica,15.0,psychrophile,36.52,1
R4YLC5,Oleispira antarctica,15.0,psychrophile,44.0,1
R4YLC7,Oleispira antarctica,15.0,psychrophile,36.27,1
R4YLD0,Oleispira antarctica,15.0,psychrophile,38.56,1
R4YLD2,Oleispira antarctica,15.0,psychrophile,47.45,1
R4YLD3,Oleispira antarctica,15.0,psychrophile,27.94,1
R4YLE0,Oleispira antarctica,15.0,psychrophile,39.46,1
R4YLE5,Oleispira antarctica,15.0,psychrophile,41.24,1
R4YLE8,Oleispira antarctica,15.0,psychrophile,38.83,1
R4YLF0,Oleispira antarctica,15.0,psychrophile,44.7,1
R4YLF4,Oleispira antarctica,15.0,psychrophile,43.18,1
R4YLF5,Oleispira antarctica,15.0,psychrophile,37.57,1
R4YLF8,Oleispira antarctica,15.0,psychrophile,41.94,1
R4YLG3,Oleispira antarctica,15.0,psychrophile,42.01,1
R4YLG6,Oleispira antarctica,15.0,psychrophile,44.26,1
R4YLG7,Oleispira antarctica,15.0,psychrophile,38.56,1
R4YLI2,Oleispira antarctica,15.0,psychrophile,39.04,1
R4YLI7,Oleispira antarctica,15.0,psychrophile,39.58,1
R4YLJ0,Oleispira antarctica,15.0,psychrophile,39.78,1
R4YLJ4,Oleispira antarctica,15.0,psychrophile,38.33,1
R4YLJ5,Oleispira antarctica,15.0,psychrophile,38.63,1
R4YLJ9,Oleispira antarctica,15.0,psychrophile,47.05,1
R4YLK5,Oleispira antarctica,15.0,psychrophile,37.55,1
R4YLL0,Oleispira antarctica,15.0,psychrophile,51.44,1
R4YLL2,Oleispira antarctica,15.0,psychrophile,44.55,1
R4YLL3,Oleispira antarctica,15.0,psychrophile,39.62,1
R4YLL5,Oleispira antarctica,15.0,psychrophile,43.72,1
R4YLL6,Oleispira antarctica,15.0,psychrophile,40.5,1
R4YLL7,Oleispira antarctica,15.0,psychrophile,48.78,1
R4YLL8,Oleispira antarctica,15.0,psychrophile,41.25,1
R4YLL9,Oleispira antarctica,15.0,psychrophile,38.78,1
R4YLM3,Oleispira antarctica,15.0,psychrophile,38.82,1
R4YLM5,Oleispira antarctica,15.0,psychrophile,39.11,1
R4YLM7,Oleispira antarctica,15.0,psychrophile,44.96,1
R4YLM8,Oleispira antarctica,15.0,psychrophile,47.77,1
R4YLN0,Oleispira antarctica,15.0,psychrophile,41.91,1
R4YLN1,Oleispira antarctica,15.0,psychrophile,38.01,1
R4YLN6,Oleispira antarctica,15.0,psychrophile,53.39,1
R4YLN9,Oleispira antarctica,15.0,psychrophile,45.35,1
R4YLP0,Oleispira antarctica,15.0,psychrophile,45.93,1
R4YLP3,Oleispira antarctica,15.0,psychrophile,42.92,1
R4YLP8,Oleispira antarctica,15.0,psychrophile,39.46,1
R4YLQ2,Oleispira antarctica,15.0,psychrophile,42.09,1
R4YLQ4,Oleispira antarctica,15.0,psychrophile,42.02,1
R4YLQ8,Oleispira antarctica,15.0,psychrophile,39.84,1
R4YLR0,Oleispira antarctica,15.0,psychrophile,39.08,1
R4YLR1,Oleispira antarctica,15.0,psychrophile,49.22,1
R4YLR2,Oleispira antarctica,15.0,psychrophile,39.35,1
R4YLR4,Oleispira antarctica,15.0,psychrophile,34.62,1
R4YLR6,Oleispira antarctica,15.0,psychrophile,38.4,1
R4YLR7,Oleispira antarctica,15.0,psychrophile,44.24,1
R4YLR8,Oleispira antarctica,15.0,psychrophile,41.14,1
R4YLS1,Oleispira antarctica,15.0,psychrophile,37.48,1
R4YLS5,Oleispira antarctica,15.0,psychrophile,45.68,1
R4YLT7,Oleispira antarctica,15.0,psychrophile,46.5,1
R4YLT9,Oleispira antarctica,15.0,psychrophile,48.1,1
R4YLU0,Oleispira antarctica,15.0,psychrophile,43.71,1
R4YLU7,Oleispira antarctica,15.0,psychrophile,42.35,1
R4YLU8,Oleispira antarctica,15.0,psychrophile,42.88,1
R4YLV1,Oleispira antarctica,15.0,psychrophile,37.39,1
R4YLV3,Oleispira antarctica,15.0,psychrophile,44.29,1
R4YLV6,Oleispira antarctica,15.0,psychrophile,37.23,1
R4YLV7,Oleispira antarctica,15.0,psychrophile,39.06,1
R4YLV8,Oleispira antarctica,15.0,psychrophile,41.11,1
R4YLW3,Oleispira antarctica,15.0,psychrophile,38.44,1
R4YLW7,Oleispira antarctica,15.0,psychrophile,44.35,1
R4YLX1,Oleispira antarctica,15.0,psychrophile,45.71,1
R4YLX3,Oleispira antarctica,15.0,psychrophile,40.76,1
R4YLX5,Oleispira antarctica,15.0,psychrophile,37.27,1
R4YLX6,Oleispira antarctica,15.0,psychrophile,52.82,1
R4YLX7,Oleispira antarctica,15.0,psychrophile,37.15,1
R4YLX8,Oleispira antarctica,15.0,psychrophile,39.36,1
R4YLY3,Oleispira antarctica,15.0,psychrophile,48.04,1
R4YLY4,Oleispira antarctica,15.0,psychrophile,43.3,1
R4YLY7,Oleispira antarctica,15.0,psychrophile,54.45,1
R4YLZ1,Oleispira antarctica,15.0,psychrophile,51.49,1
